	CHNL_k1519-2024	ENERGY_k1519-2024	COUNTS_k1519-2024
357	357	474.125684	23916
358	358	475.416759	23689
359	359	476.707835	23781
360	360	477.998910	23659
361	361	479.289985	23300
362	362	480.581060	23693
363	363	481.872135	23453
364	364	483.163211	23256
365	365	484.454286	23234
366	366	485.745361	23336
367	367	487.036436	23277
368	368	488.327512	22812
369	369	489.618587	22990
370	370	490.909662	22785
371	371	492.200737	22904
372	372	493.491813	22868
373	373	494.782888	22956
374	374	496.073963	23072
375	375	497.365038	22887
376	376	498.656113	22901
377	377	499.947189	22729
378	378	501.238264	22900
379	379	502.529339	22969
380	380	503.820414	22925
381	381	505.111490	22590
382	382	506.402565	22466
383	383	507.693640	22247
384	384	508.984715	21941
385	385	510.275791	21836
386	386	511.566866	21717
387	387	512.857941	21556
388	388	514.149016	21266
389	389	515.440091	21478
390	390	516.731167	21180
391	391	518.022242	21091
392	392	519.313317	21206
393	393	520.604392	21087
394	394	521.895468	21056
395	395	523.186543	20839
396	396	524.477618	20944
397	397	525.768693	21045
398	398	527.059769	21246
399	399	528.350844	21282
400	400	529.641919	21656
401	401	530.932994	21460
402	402	532.224069	21959
403	403	533.515145	22162
404	404	534.806220	22453
405	405	536.097295	22799
406	406	537.388370	23550
407	407	538.679446	24333
408	408	539.970521	24754
409	409	541.261596	26274
410	410	542.552671	27494
411	411	543.843747	29838
412	412	545.134822	31842
413	413	546.425897	35605
414	414	547.716972	39428
415	415	549.008047	43983
416	416	550.299123	50656
417	417	551.590198	57457
418	418	552.881273	66234
419	419	554.172348	75909
420	420	555.463424	87809
421	421	556.754499	100492
422	422	558.045574	113864
423	423	559.336649	128646
424	424	560.627725	142753
425	425	561.918800	157207
426	426	563.209875	171016
427	427	564.500950	184127
428	428	565.792025	194840
429	429	567.083101	203743
430	430	568.374176	209869
431	431	569.665251	212642
432	432	570.956326	212410
433	433	572.247402	209513
434	434	573.538477	203633
435	435	574.829552	195046
436	436	576.120627	184124
437	437	577.411703	169445
438	438	578.702778	155633
439	439	579.993853	141155
440	440	581.284928	126116
441	441	582.576003	111375
442	442	583.867079	97017
443	443	585.158154	83733
444	444	586.449229	71392
445	445	587.740304	60649
446	446	589.031380	51242
447	447	590.322455	43516
448	448	591.613530	36776
449	449	592.904605	31861
450	450	594.195681	27309
451	451	595.486756	24088
452	452	596.777831	21327
453	453	598.068906	19619
454	454	599.359981	18263
455	455	600.651057	17186
456	456	601.942132	16927
457	457	603.233207	16478
458	458	604.524282	16073
459	459	605.815358	15965
460	460	607.106433	16235
461	461	608.397508	16388
462	462	609.688583	16685
463	463	610.979658	16758
464	464	612.270734	17373
465	465	613.561809	17721
466	466	614.852884	17754
467	467	616.143959	18386
468	468	617.435035	18453
469	469	618.726110	19016
470	470	620.017185	19060
471	471	621.308260	18961
472	472	622.599336	19097
473	473	623.890411	19006
474	474	625.181486	18987
475	475	626.472561	18466
476	476	627.763636	18370
477	477	629.054712	18296
478	478	630.345787	17986
479	479	631.636862	17554
480	480	632.927937	17131
481	481	634.219013	16885
482	482	635.510088	16628
483	483	636.801163	16402
484	484	638.092238	15919
485	485	639.383314	15895
486	486	640.674389	15643
487	487	641.965464	15817
488	488	643.256539	15453
489	489	644.547614	15473
490	490	645.838690	15314
491	491	647.129765	15449
492	492	648.420840	15618
493	493	649.711915	15532
494	494	651.002991	15666
495	495	652.294066	15765
496	496	653.585141	15723
497	497	654.876216	16117
498	498	656.167292	16056
499	499	657.458367	16004
500	500	658.749442	16130
501	501	660.040517	16254
502	502	661.331592	16073
503	503	662.622668	16028
504	504	663.913743	16312
505	505	665.204818	15838
506	506	666.495893	16094
